100571	agronomi	 subst.	agronomi
100571	agronomisk		agronomi
100572	agronomie	 adj.	agronomie
100574	ah	 interjektion	ah
100575	aha	 interjektion	aha
100575	aha-upplevelse		aha
100576	aha-upplevelse	 subst.	aha-upplevelse
100578	AI	 subst.	AI
100578	AI-kamera		AI
100578	AI-teknik		AI
100579	aids	 subst.	aids
100579	aidsbekämpning		aids
100579	aidsdrabbad		aids
100579	aidstesta		aids
100584	aikido	 subst.	aikido
100585	aioli	 subst.	aioli
100586	air	 subst.	air
100587	airbag	 subst.	airbag
100588	airedaleterrier	 subst.	airedaleterrier
100590	aiss	 subst.	aiss
100592	aj	 interjektion	aj
100593	aja baja	 interjektion	aja baja
100594	ajour	 adj.	ajour
100595	ajournera	 verb	ajournera
100596	ajournera sig	 verb	ajournera sig
100597	ajvar	 subst.	ajvar
100597	ajvarkyckling		ajvar
100599	ajö	 interjektion	ajö
100600	ajöss	 interjektion	ajöss
100602	akacia	 subst.	akacia
100602	borstakacia		akacia
100602	paraplyakacia		akacia
100602	rumsakacia		akacia
100603	Vetenskapsakademien		akademi
100603	akademi	 subst.	akademi
100603	akademiledamot		akademi
100603	deckarakademin		akademi
100603	militärakademi		akademi
100604	akademiker	 subst.	akademiker
100606	akademisk	 adj.	akademisk
100607	akademism	 subst.	akademism
100608	akademist	 subst.	akademist
100609	akajer	 subst.	akajer
100610	akalkuli	 subst.	akalkuli
100611	akant	 subst.	akant
100612	akantus	 subst.	akantus
100612	akantusslinga		akantus
100614	a-kassa	 subst.	a-kassa
100614	a-kasseersättning		a-kassa
100617	akatalektisk	 adj.	akatalektisk
100618	akilleshäl	 subst.	akilleshäl
100620	akillesreflex	 subst.	akillesreflex
100621	akillessena	 subst.	akillessena
100623	akleja	 subst.	akleja
100624	akne	 subst.	akne
100625	akribi	 subst.	akribi
100626	akrobat	 subst.	akrobat
100626	akrobattrupp		akrobat
100627	akrobatik	 subst.	akrobatik
100627	sportakrobatik		akrobatik
100628	akrobatisk	 adj.	akrobatisk
100629	akrobatnummer	 subst.	akrobatnummer
100631	akrofobi	 subst.	akrofobi
100632	akromatisk	 adj.	akromatisk
100633	akromegali	 subst.	akromegali
100634	akronym	 subst.	akronym
100635	akropol	 subst.	akropol
